DATE,HLTHSCPCHCSA
2000-01-01,3932.451512827483
2001-01-01,4243.935975411778
2002-01-01,4579.153815639508
2003-01-01,4862.741895444824
2004-01-01,5173.8476398743305
2005-01-01,5455.734146426069
2006-01-01,5747.705964870718
2007-01-01,6052.626546093546
2008-01-01,6278.552728665455
2009-01-01,6517.09761501368
2010-01-01,6745.18517493794
2011-01-01,6938.3108336959685
2012-01-01,7136.261779860075
2013-01-01,7270.060877649478
2014-01-01,7597.979704976939
2015-01-01,8029.084796185699
2016-01-01,8361.191695278952
2017-01-01,8635.002567242222
2018-01-01,8969.20060787603
2019-01-01,9398.70216962836
